시도교육청,지역교육청,지역,정보공시  학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,유초등부-유,유초등부-유-순회,유초등부-1학년,유초등부-2학년,유초등부-3학년,유초등부-4학년,유초등부-5학년,유초등부-6학년,유초등부-초-순회,유초등부-학급수(계),유초등부-학생수(계),유초등부-학급당학생수,중등부-1학년,중등부-2학년,중등부-3학년,중등부-순회,중등부-학급수(계),중등부-학생수(계),중등부-학급당학생수,고등부-1학년,고등부-2학년,고등부-3학년,고등부-순회,고등부-학급수(계),고등부-학생수(계),고등부-학급당학생수,전공과,학급수 총계,학생수 총계,학급당학생수
전라남도교육청,전라남도교육청,전라남도 강진군,S140002321,덕수학교,5,사립,N,,0,0,1,1,1,1,1,1,0,6,22,3.67,1,1,1,0,3,28,9.33,2,2,1,0,5,37,7.4,2,16(0),105(0),6.56
전라남도교육청,전라남도교육청,전라남도 영암군,S140002322,소림학교,5,사립,N,,1,0,2,1,1,1,1,1,0,8,47,5.88,1,2,1,1,5,26,5.2,2,1,1,0,4,33,8.25,4,21(1),145(4),6.9
전라남도교육청,전라남도교육청,전라남도 목포시,S140002323,목포인성학교,5,사립,N,,1,0,1,1,1,0,1,1,1,7,37,5.29,1,1,2,0,4,28,7,2,2,1,1,6,40,6.67,2,19(2),128(12),6.74
전라남도교육청,전라남도교육청,전라남도 순천시,S140002325,순천선혜학교,5,공립,N,,0,0,2,2,2,2,2,2,1,13,61,4.69,3,3,4,1,11,52,4.73,3,4,4,1,12,73,6.08,6,42(3),238(13),5.67
전라남도교육청,전라남도교육청,전라남도 여수시,S140002326,여수여명학교,5,공립,N,,1,0,2,2,2,2,3,1,1,14,66,4.71,2,3,2,1,8,40,5,3,2,2,1,8,41,5.13,5,35(3),193(5),5.51
전라남도교육청,전라남도교육청,전라남도 영암군,S140002328,은광학교,5,사립,N,,1,0,0,1,0,1,0,1,0,4,19,4.75,1,2,1,0,4,26,6.5,2,1,2,0,5,24,4.8,2,15(0),82(0),5.47
전라남도교육청,전라남도교육청,전라남도 함평군,S140002329,함평영화학교,5,사립,N,,1,0,1,1,1,1,1,1,0,7,35,5,1,1,1,0,3,19,6.33,1,2,2,1,6,31,5.17,2,18(1),105(3),5.83
전라남도교육청,전라남도교육청,전라남도 나주시,S140005422,나주이화학교,5,공립,N,,1,0,1,2,2,1,1,1,1,10,32,3.2,2,2,1,1,6,27,4.5,2,2,2,1,7,32,4.57,4,27(3),121(8),4.48
경상북도교육청,경상북도교육청,경상북도 영천시,S150003793,경북영광학교,5,사립,N,,0,0,1,1,1,1,1,2,0,7,26,3.71,4,2,3,0,9,46,5.11,3,3,2,0,8,45,5.63,4,28(0),159(0),5.68
경상북도교육청,경상북도교육청,경상북도 경주시,S150003794,경희학교,5,공립,N,,0,0,1,1,1,1,1,1,0,6,20,3.33,2,1,2,0,5,23,4.6,2,2,2,0,6,29,4.83,4,21(0),108(0),5.14
경상북도교육청,경상북도교육청,경상북도 구미시,S150003795,구미혜당학교,5,사립,N,,3,0,2,3,3,2,3,3,0,19,89,4.68,2,3,4,0,9,54,6,3,3,3,0,9,59,6.56,8,45(0),288(0),6.4
경상북도교육청,경상북도교육청,경상북도 상주시,S150003796,상희학교,5,공립,N,,2,0,1,1,1,1,1,1,0,8,29,3.63,2,1,1,0,4,20,5,2,2,2,0,6,36,6,4,22(0),124(0),5.64
경상북도교육청,경상북도교육청,경상북도 안동시,S150003797,안동영명학교,5,사립,N,,2,0,1,2,2,1,2,3,0,13,51,3.92,2,3,3,0,8,42,5.25,4,3,2,0,9,57,6.33,7,37(0),213(0),5.76
경상북도교육청,경상북도교육청,경상북도 안동시,S150003798,안동진명학교,5,사립,N,,5,0,2,2,2,2,2,2,0,17,44,2.59,3,3,3,0,9,29,3.22,3,3,3,0,9,52,5.78,4,39(0),161(0),4.13
경상북도교육청,경상북도교육청,경상북도 포항시 북구,S150003801,포항명도학교,5,사립,N,,0,0,2,1,2,3,3,2,0,13,53,4.08,3,3,3,0,9,50,5.56,2,3,3,0,8,45,5.63,8,38(0),228(0),6
경상북도교육청,경상북도교육청,경상북도 경산시,S150006368,경산자인학교,5,공립,N,,1,0,2,1,3,1,3,2,0,13,56,4.31,5,3,2,0,10,47,4.7,2,2,3,0,7,40,5.71,3,33(0),175(0),5.3
경상북도교육청,경상북도교육청,경상북도 포항시 북구,S150006378,한동글로벌학교,5,사립,Y,본교는 해당항목에 대해서 통계자료가 없으므로 제외함.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0(0),0(0),0
경상남도교육청,경상남도교육청,경상남도 거제시,S160003069,거제애광학교,5,사립,N,,2,0,1,2,3,2,1,1,2,14,56,4,3,3,1,1,8,36,4.5,2,2,2,1,7,35,5,2,31(4),151(14),4.87
경상남도교육청,경상남도교육청,경상남도 의령군,S160003071,의령은광학교,5,공립,N,,0,0,0,1,1,0,1,1,0,4,10,2.5,2,1,1,0,4,14,3.5,1,1,2,1,5,24,4.8,4,17(1),75(1),4.41
경상남도교육청,경상남도교육청,경상남도 김해시,S160003072,김해은혜학교,5,공립,N,,1,0,3,2,2,3,2,2,1,16,81,5.06,4,4,3,1,12,61,5.08,3,3,3,0,9,60,6.67,6,43(2),255(7),5.93
경상남도교육청,경상남도교육청,경상남도 창원시 성산구,S160003073,창원천광학교,5,공립,N,,1,0,2,3,2,3,2,2,3,18,78,4.33,3,3,3,2,11,51,4.64,3,4,3,1,11,56,5.09,6,46(6),225(23),4.89
경상남도교육청,경상남도교육청,경상남도 창원시 마산회원구,S160003074,경남혜림학교,5,공립,N,,1,0,3,2,3,4,2,3,2,20,87,4.35,5,4,4,1,14,72,5.14,3,4,5,1,13,75,5.77,9,56(4),307(18),5.48
경상남도교육청,경상남도교육청,경상남도 진주시,S160003081,진주혜광학교,5,공립,N,,0,0,2,1,1,1,2,2,2,11,44,4,3,3,3,0,9,41,4.56,3,3,3,1,10,60,6,9,39(3),221(6),5.67
경상남도교육청,경상남도교육청,경상남도 통영시,S160003410,통영잠포학교,5,공립,N,,0,0,1,1,2,1,1,1,1,8,27,3.38,1,2,2,0,5,18,3.6,2,2,2,1,7,29,4.14,4,24(2),109(6),4.54
경상남도교육청,경상남도교육청,경상남도 양산시,S160003451,양산희망학교,5,공립,N,,0,0,1,2,3,2,2,1,3,14,53,3.79,2,2,3,2,9,37,4.11,3,3,2,3,11,54,4.91,5,39(8),179(17),4.59
경상남도교육청,경상남도교육청,경상남도 창원시 마산합포구,S160003863,창원동백학교,5,사립,N,,3,0,1,1,1,1,1,1,0,9,36,4,1,1,1,0,3,8,2.67,1,1,1,0,3,13,4.33,1,16(0),65(0),4.06
경상남도교육청,경상남도교육청,경상남도 거창군,S160003927,거창나래학교,5,공립,N,,2,0,1,1,0,1,1,0,0,6,19,3.17,2,2,1,0,5,16,3.2,0,1,1,0,2,6,3,2,15(0),54(0),3.6
제주특별자치도교육청,제주특별자치도교육청,제주특별자치도 제주시,S170000512,제주영지학교,5,공립,N,,2,0,1,2,3,3,2,3,3,19,87,4.58,4,2,3,2,11,46,4.18,2,2,4,2,10,39,3.9,4,44(7),207(22),4.7
제주특별자치도교육청,제주특별자치도교육청,제주특별자치도 제주시,S170000513,제주영송학교,5,사립,N,,1,0,2,2,2,2,2,2,0,13,54,4.15,3,3,2,0,8,42,5.25,2,4,3,0,9,49,5.44,2,32(0),164(0),5.13
제주특별자치도교육청,제주특별자치도교육청,제주특별자치도 서귀포시,S170000790,서귀포온성학교,5,공립,N,,1,0,1,1,2,1,1,0,2,9,35,3.89,3,2,0,0,5,24,4.8,2,2,2,1,7,30,4.29,2,23(3),107(6),4.65
